country,author,date_of_publication,title_3,study_design,study_timeframe,sources_of_data,study_setting_location,hospital_service_coverage_area,bed_capacity_number,operating_rooms_number,burn_unit_availability_yes_no,anesthesia_availability_yes_no,ventilator_availability_yes_no,blood_bank_availability_yes_no,laboratory_services_available_yes_no,imaging_services_available_yes_no,sterilization_facilities_yes_no,surveillance_system_yes_no,surveillance_system_details,health_information_system_yes_no,health_information_system_details,surgeons_number,surgeons_description,anesthetists_number,anesthetists_description,nurses_number,nurses_description,other_healthcare_providers_number,other_healthcare_providers_description,affiliation_of_surgeons_other_healthcare_providers_number,affiliation_of_surgeons_other_healthcare_providers_description,sample_size,prevalence_rate,incidence_rate,disability_adjusted_life_years_dal_ys,cost_to_individuals_cost_in_usd_or_other_currency,cost_to_government_cost_in_usd_or_other_currency
"Multi-country (primarily Nigeria, also South Africa, Ghana, Ethiopia, Egypt, Morocco, Algeria, Zimbabwe, Kenya, Tanzania)","Akinmoladun V.I., Obimakinde O.S., Okoje V.N.",12-Feb,Team approach to management of oro‑facial cleft among African practitioners: A survey,Cross sectional study,7-Feb,Questionnaire responses from 91 specialists,"2nd Pan-African Congress on Cleft Lip and Palate, Nigeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60 (OMFS + Plastic + General + Pediatric),"Speciality of res[pondents
OMFS 31 (34.1%);
Orthodontist 12 (13.2%);
Plastic surgeon 27 (29.7%);
Otorhinolaryngology 
6 (6.6%);
Anesthesia 5 (5.5%);
Speech pathology 3 (3.3%);
Pediatrics 3 (3.3%);
Restorative dentistry 2 (2.2%)
General surgery 2 (2.2%)",5,"Speciality of res[pondents
OMFS 31 (34.1%);
Orthodontist 12 (13.2%);
Plastic surgeon 27 (29.7%);
Otorhinolaryngology 
6 (6.6%);
Anesthesia 5 (5.5%);
Speech pathology 3 (3.3%);
Pediatrics 3 (3.3%);
Restorative dentistry 2 (2.2%)
General surgery 2 (2.2%)",NA,NA,"Orthodontists (13.2%), Speech Pathologists (3.3%), Pediatricians (3.3%), Nutritionists, Pedodontists","Speciality of res[pondents
OMFS 31 (34.1%);
Orthodontist 12 (13.2%);
Plastic surgeon 27 (29.7%);
Otorhinolaryngology 
6 (6.6%);
Anesthesia 5 (5.5%);
Speech pathology 3 (3.3%);
Pediatrics 3 (3.3%);
Restorative dentistry 2 (2.2%)
General surgery 2 (2.2%)",Teaching and government hospitals,"59.9% in teaching hospitals, 30.8% in government hospitals",91 respondents,NA,NA,NA,NA,NA
Nigeria,"Yiltok S.J., Osho O.P., Wade P.D., et al.",9-May,Treatment of cicatricial eyelid ectropion: experience with the use of full thickness skin graft at Jos,Other: retrospective case series,01/2000 - 12/2006,medical records (operation register; patient case notes),Jos University Teaching Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Medical records and operation register,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 patients,NA,NA,NA,NA,NA
Kenya,"Oduor P., Mak’Anyengo S.",15-Dec,"Pre axial polydactyly: Our experience at the Rift Valley Provincial General Hospital, Nakuru, Kenya",Other: Prospective case series,01/2011 - 12/2012,Clinical records and surgical outcomes,"Reconstructive Surgery Clinic, Rift Valley Provincial General Hospital, Nakuru, Kenya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9 patients,NA,NA,NA,NA,NA
Nigeria,"Olaitan P.B., Olaitan J.O.",4-Nov,Burns and Scalds - Epidemiology and Prevention in a Developing Country,Other: Literature review,NA,secondary data (online databases: Medline and local journals),Preventative burn programs in Nigeria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nigeria,"Nnadozi U.U, Maduba C.C, Okorie G.M, et al.",21-Sep,Burns in pregnancy: Five-year experience in a tertiary hospital in southeastern nigeria,Other: Retrospective study,04/2014 - 03/2019,Medical records (All patients with burn managed during the study),"Burns and Plastic Surgery unit of the Department of Surgery, Alex Ekwueme Federal 
University Teaching Hospital Abakaliki (AE-FUTHA), Ebonyi State (referral/teaching hospital)",NA,720;  8;  12,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Medical records,6 consultant plastic surgeons; 6 resident doctors,"""The plastic surgery division is currently run by 6 consultant plastic surgeons, 6 resident doctors.""",NA,NA,14 specialists nurses; 6 other nurses,"""The plastic surgery division is currently run by 6 consultant plastic surgeons, 6 resident doctors, 14 specialist nurses, and 6 other nurses.""",NA,NA,NA,NA,8 participants (222 burns managed but only 8 pregnant),NA,NA,NA,NA,NA
Nigeria,"Nnadozie U.U., Ekwedigwe H.C., Maduba C.C., et al.",20-Nov,PATTERN OF PRESENTATION AND OUTCOME OF TRAUMATIC INJURIES AT THE ACCIDENT AND EMERGENCY DEPARTMENT OF A MAJOR TEACHING HOSPITAL SOUTHEAST NIGERIA,"Other: retrospective, cross-sectional study",01/2018 - 12/2019,medical records (clinical folders),"Alex Ekwueme Federal University Teaching Hospital Abakaliki (AEFUTHA), Ebonyi State, Nigeria (tertiary hospital)","unspecified number (""The hospital is the only tertiary hospital in Ebonyi state and provides healthcare to people of Ebonyi state and, neighbouring states."")","main hospital = 720 beds;
ER = 12 beds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"""Information were obtained from the Health Information Management Unit of the ER.""",general surgeon = 1,"""The head of the department is a consultant general surgeon...""",NA,NA,30,"“30 nurses, of which four are accident and emergency trained specialist nurses.”","medical officers = 11;
health attendants = 32","""11 permanent medical officers...""; “32 health attendants and 8 security officers”",NA,NA,"2007 trauma patients (out of 7,117 total ER patients)",NA,NA,NA,NA,NA
Sudan,"Bakhiet M.Y., HabibAlla E.H.M., Assil S.M., et al.",23-Mar,Review of Plastic and Reconstructive Surgery in a General Hospital Setting: Experience from a Developing Country,Other: retrospective descriptive study; hospital-based cross-sectional study,01/2014 - 01/2015,secondary data collection (medical records of patients seen in the outpatient clinic or emergency departments for plastic surgical consultation or management),plastic surgery unit in the Elobeid Teaching Hospital (referral governmental hospital in North Kordofan State),NA,*600,NA,NA,NA,NA,NA,*Yes,*Yes,NA,NA,NA,NA,NA,*1,*plastic surgeon specialist,NA,NA,NA,NA,*2,*residents,NA,NA,403 cases,NA,NA,NA,NA,NA
Nigeria,"Jiburum B.C., Olaitan P.B.",2005,"Burn injuries in Enugu, Nigeria",Other: Retrospective study,01/1993 - 12/1997,medical records,Plastic surgery department at the National Hospital (Eastern part of Nigeria),NA,5,1,Yes,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,"""Admission registers and patients folders were the sources of information which included patient’s age and sex, the month and place of injury, aetiology, parts of the body affected, percentage body surface area burnt and mortality. """,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285 patients,NA,NA,NA,NA,NA
Kenya,"Adungo J.I., Mutispo V.M., Ngugi M., et al.",14-Dec,"Analysis of Soft Tissue Injuries and Scarring Following Terrorist Bomb Explosion at American Embassy in Nairobi, Kenya",Other: Retrospective descriptive observational study,Aug-98,"""Data was collected from hospital medical records and from records of the rehabilitation team co-ordinated by Kenyatta National Hospital in conjunction with the United States Agency for International Development (USAID) and the African Medical and Research Foundation (AMREF) using structured questionnaires.""","Kenyatta National Teaching and Referral Hospital (KNH), Nairobi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1471 patients,“73% of the patients had soft tissue injuries mostly in the extremities.”,NA,NA,NA,NA
"Sub-Saharan Africa (focus on Nigeria, Uganda, Zambia)",Ibrahim A.,14-Sep,"Sub-specialization in plastic surgery in Sub-saharan Africa: capacities, gaps and opportunities",Other: Commentary / Perspective,NA,"Literature review, expert opinion, regional training data","Sub-Saharan Africa; examples from Nigeria, Uganda, Zambia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nigeria: 72
Uganda: 3
Zambia: 1",“Nigeria with a population of over 140 million citizens has only seventy-two (72) plastic surgeons actively practicing... There are three (3) plastic surgeons in Uganda and one (1) in Zambia.”,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38 DALYs per 1,000 population in Africa attributed to surgical conditions requiring plastic surgery",NA,NA
Uganda,"Kalanzi E.W., Ssentongo R., Alenyo R., et al.",7-Apr,Surgical Reconstruction of Northern Uganda War Victims,Other: retrospective case series,2004 - 2005,medical records,"Lira, Gulu, Kitgum Hospitals; Mulago National Referral Hospital (referral hospital)",NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34 patients,NA,NA,NA,NA,NA
Nigeria,"Maduba C.C., Nnadozie U.U., Okorie G.M., et al.",2022,"DEVELOPING A BURN UNIT: OUR EXPERIENCE AT ALEX EKWUEME FEDERAL UNIVERSITY TEACHING HOSPITAL ABAKALIKI, SOUTHEAST NIGERIA",Other: communication report,09/2013 - 03/2021,NA,Burn unit in Alex Ekwueme Federal University Teaching Hospital Abakaliki,NA,12,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"""There are now 6 consultant plastic surgeons""",NA,NA,20,"""The human capacity has also increased from only four specialty nurses trained in Burn and Plastic Post-basic Nursing to 20 of them who now work with non-specialized nurses as assistants.""","6 senior registrars;
various other healthcare staff","""There are now 6 consultant plastic surgeons and 5 senior registrars in plastic surgery involved in the running of Burn Unit."";
""Other support staffs who work as orderlies, potters, and administrative personnel have also been employed. There has also been a huge improvement in the residency training programme with a full accreditation by both National Postgraduate medical College of Nigeria and the West African college of Surgeons.""",NA,NA,NA,NA,NA,NA,NA,NA
Ghana,Adu E.J.K.,11-Jun,MANAGEMENT OF CONTRACTURES: A FIVE-YEAR EXPERIENCE AT KOMFO ANOKYE TEACHING HOSPITAL IN KUMASI,Other: prospective study,01/2004-12/2008,primary data collection (data collected by author),Reconstructive Plastic Surgery and Burns Unit of Komfo Anokye Teaching Hospital in Kumasi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68 patients,NA,NA,NA,NA,NA
Nigeria,"Michael A.I., Olusanya A.A., Olawoye O.A., et al.",18-Dec,STATE DISTRIBUTION OF NEW PATIENTS PRESENTING WITH CLEFT LIP AND PALATE TO THE UNIVERSITY COLLEGE HOSPITAL: A PILOT STUDY,Other: Retrospective review,01/2012 - 06/2015,Smile Train/institutional approved proforma and outpatient cleft clinic records,"University College Hospital (UCH), Ibadan, Nigeria",Oyo State and surrounding regions,850,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plastic and oral/maxillofacial surgeons involved in cleft care,NA,NA,NA,Participated in awareness and cleft care programs,Community mobilizers and Smile Train support staff,NA,NA,University College Hospital and University of Ibadan,67 patients,NA,NA,NA,NA,NA
Burkina Faso,"Zongo N., Ouedraogo N.L.M., Windsouri M., et al.",22-Mar,Skin oncoplasties: O-to-Z technique a technique of choice in situation of limited resources? Case of Burkina Faso,Other: Retrospective descriptive study,01/2013 – 03/2021,"Referral forms, operating theatre registers, and medical records","Yalgado Ouédraogo Teaching Hospital and Schiphra Protestant Hospital, Ouagadougou, Burkina Faso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42 patients, 171 skin cancers",NA,NA,NA,NA,NA
Burkina Faso; Guinea,"Zongo N., Guigemdé R.A., Yaméogo P.B., et al.",22-Aug,Dermatofibrosarcoma protuberans surgery: Experiences of four African surgical oncology units and literature review,"Other: retrospective, multicenter, descriptive study; literature review",01/1988 - 12/2020,"primary data collection (cross‐sectional survey questionnaire); patients' clinical records, consultation logs, and operative report","four surgical oncology units, 2 in Ouagadougou, 1 in Bobo Dioulasso, and 1 in Conakry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81 cases of dermatofibrosarcoma,NA,NA,NA,NA,NA
Burkina Faso,"Zongo N., Djiguemde A.R., Yameogo P.B. et al.",23-Oct,Issues in the surgical management of skin squamous cell cancers in albinos—experience of two surgical oncology units in Burkina Faso,"Other: Retrospective, descriptive, multicenter study",01/2013 - 12/2022,"Patient records, consultation registers, operating reports","Two surgical oncology units in Ouagadougou, Burkina Faso (these units are reference health structures)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"""Patient clinical records, consultation registers, and operating reports constituted our data sources""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46 albinos with 71 cancers,NA,NA,NA,NA,NA
Sierra Leone,"Zogg C.K., Kamara T.B., Groen R.S., et al.",14-Nov,"Prevalence of thoracic surgical care need in a developing country: results of a cluster-randomized, cross-sectional nationwide survey","Other: population‑based, cross‑sectional survey",01/2012 - 02/2012,primary data collection (SOAS survey tool),"Nationwide, Sierra Leone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3645 individuals; total of 277 chest/breast and 268 back complaints,NA,NA,NA,NA,NA
Uganda,"Zheng D.J., Sur P.J., Ariokot M.G., et al.",21-Jan,Epidemiology of injured patients in rural Uganda: A prospective trauma registry's first 1000 days,"Other: prospective, hospital-based observational study",10/2016 - 07/2019,primary data collection (structured questionnaire form),"Soroti Regional Referral Hospital (public, government-run facility)","""The government-run 250-bed facility serves a predominantly rural catchment population of two million people, or roughly 5% of the Ugandan population.""",250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,SSRH trauma registry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4109 injured patients,NA,NA,NA,NA,NA
Cote d’Ivoire,"Zegbeh-N’guessan E.K., Ory O.A.D.M, Djemi E.M., et al.",22-Dec,Epidemiology and management of maxillofacial trauma caused by stabbing weapon at the University Hospital of Bouake (Côte d'Ivoire),Other: retrospective and descriptive study,01/2018 - 12/2021,Medical records,Department of Odontostomatology and Maxillofacial Surgery of  the University Hospital Centre,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,medical records,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38 patients with maxillofacial trauma by stabbing weapon,NA,NA,NA,NA,NA
African low- and middle-income countries (Ethiopia; Benin; Egypt; Ghana;  Ivory Coast; Kenya; Nigeria; Madagascar; Malawi; Togo; Uganda; Zambia; and Zimbabwe),"Yousef Y., Lee A., Ayele F., et al.",18-Jun,Delayed access to care and unmet burden of pediatric surgical disease in resource-constrained African countries,Other: Retrospective study and Review Article,01/2012 - 07/2016,medical records (charts); published literature,"retrospective chart review: MyungSung Christian Medical Center (a non governmental, non-profit hospital situated in Addis Ababa, Ethiopia);

scoping review: Africa-Wide Information (Ebsco); Embase (Ovid); Medline (Ovid); PubMed (NLM) and Web of Science (Thomson Reuters)",NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chart review: 210 procedures performed on 207 patients;
scoping review: 4,355 abstracts of which 36 publications were included",NA,NA,"ESTIMATED UNMET PREVALENT NEED BY COUNTRY (DALYs)
Isolated Cleft Lip
Ethiopia = 75 ;
Kenya = 238;
Nigeria = 748;
Togo and Benin = 30;
Uganda = 4;
Zambia = 17;
Zimbabwe = 22",NA,NA
Mali,"Yongqiang Z., Dousheng H., Yanning L., et al.",18-Nov,"Peacekeepers suffered combat-related injuries in Mali: a retrospective, descriptive study",Other: Retrospective descriptive study,03/2016 - 03/2018,Electronic database system (Xingxin) and hospital records,"Chinese Level 2 Medical Treatment Facility (CHN R2), Gao, Mali",NA,NA,1,NA,NA,NA,NA,Yes,Yes,Yes,NA,NA,yes,"""We reviewed the medical data from peacekeepers treated at CHN R2 from 1 March 2016 to 1 March 2018. The medical records were logged in an electronic database system called Xingxin; """,NA,NA,NA,NA,NA,NA,specialist doctors 8,"""We had one surgical team which would be enhanced up to 
eight specialist doctors in response to mass casualties"";
“The surgical teams consist of orthopaedist, general surgeon, cardiothoracic surgeon, neurosurgeon, otolaryngologist, burn surgeon and ophthalmologist.”",NA,NA,176 combat-related injury cases,NA,NA,NA,NA,NA
Uganda,"Yap A., Muzira A., Cheung M., et al.",18-May,A Cost-Effectiveness Analysis of a Pediatric Operating Room in Uganda,Economic evaluation,04/2015 - 04/2016,suppliers who offered subsidized prices; participating NGOs (ARCHIE Foundation and Medical Aid International); lifetime warranty from a product catalog (or US Government Office of Management and Budget); previous literature and patient data collected from the ORdatabase in Uganda,Naguru OR (pediatric surgical OR in Uganda),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"326 patients (""... with 48 unique pediatric surgical diseases underwent surgery..."")",NA,NA,"DISEASE BURDEN AVERTED BY A YEAR OF PROCEDURES CONDUCTED IN THE PEDIATRIC OR CATEGORIZED INTO 5 DISEASE GROUPS (in DALYs AVERTED)
Electives
frequency of cases = 40
DALYs averted = 245

Emergencies
frequency of cases = 35
DALYs averted = 1,480

Emergent Congenital
frequency of cases = 65
DALYs averted = 3,168

Nonemergent Congenital 
frequency of cases = 152
DALYs averted = 2,125

Neoplasia
frequency of cases = 34
DALYs averted = 1,586",NA,"""The total cost of furnishing the pediatric OR purchased by the ARCHIE foundation was $101,847.57, which includes the surgical and anesthesia equipment as well as the installation and transportation freight fees. This value is decreased from the market value cost of $266,261.85, because ARCHIE purchased the equipment at subsidized prices"""
Kenya,"Wu V.K., Poenaru D., Poley M.J.",13-Feb,Burden of surgical congenital anomalies in Kenya: a population-based study,Cross sectional study,07/2009 – 03/2010,Primary data collection through household surveys,10 urban and rural locations in Kenya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5559 children from 1909 households,"Cleft lip
prevalence = 0.4
Confidence interval = 0.0 - 1.3

Club foot 
prevalence = 2.9
Confidence interval = 1.6 - 4.7",NA,"TOTAL DALYs
Cleft lip  = 3.5–7.7 DALYs

Club feet = 51-125 DALYs
Male DALYS = 6
Female DALYS 11.5",NA,NA
Kenya,"Wu V.K., Poenaru D.",13-Jan,Burden of surgically correctable disabilities among children in the Dadaab Refugee Camp,Other:  Cross sectional study and Economic evaluation,03/2005 - 06/2011,Medical records (hospital records/chart review),BethanyKids at Kijabe Hospital,NA,65,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341,NA,NA,"""The total number of DALYs averted ranged from 4,136 to 9,529 (6.4–14.8 per patient), depending on the calculation method used."";
""The total delayed averted surgical burden for congenital malformations in this study cohort was estimated at 300 DALYs over the study period, representing 1.1 DALYs per patient."";
""Sensitivity analysis resulted in a total of 4,136–9,529 DALYs averted over the study period (corresponding to 6.4–14.8 DALYs per patient), evenly distributed between congenital (totaling 2,065–4,911 DALYs, or 7.4–17.6 DALYs per patient) and acquired conditions (totaling 2,071–4,618 DALYs, or 5.7–12.7 DALYs per patient).""",NA,NA
Sierra Leone,"Wong E.G., Kamara T.B., Groen R.S., et al.",14-May,Prevalence of surgical conditions in individuals aged more than 50 years: a cluster-based household survey in Sierra Leone,"Other: cluster randomized, cross-sectional study",01/2012 - 02/2012,primary data collection (standardized household survey),across Sierra Leone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,496 respondents aged over 50 years,"""...this study shows a prevalence of surgical disease of over 60% in the elderly population of Sierra Leone, with an estimated 36.1% of elderly deaths in the previous year that may have been averted by timely surgical care.""",NA,NA,NA,NA
