title_3,author,date_of_publication,aim_of_the_study,general_category_of_pathology,specific_pathology,main_study_findings,health_system_barrier,health_system_description,financial_barrier,financial_description,geograhic_accessibility_barrier,geograhic_accessibility_description,sociocultural_barrier,sociocultural_description,patient_related_barrier,patient_related_description,policy_governance_barrier,policy_governance_description,education_training_barrier,education_training_description,other_barrier,other_description_100
EPIDEMIOlOGY OF PEDIATRIC SURGERY IN RwANDA: A ONE YEAR REVIEW,"Abahuje E., Uyisabye I., Ssebuufu R.",16-Mar,"""This study aims at describing the profile of pediatric surgical procedure performed in Rwanda and to determine the prevalence of pediatric surgical conditions that require the expertise of a Pediatric Surgeon.""","trauma, burns, congenital malformations, infections, neoplasms",NA,"67% of cases required pediatric surgical expertise; trauma/burns (36.6%), congenital anomalies (23.4%), and surgical infections (14.8%) were most common

""This study revealed that trauma and burn: 466 (36.58%), congenital anomaly: 298 (23.39%) and Surgical infections: 188 
(14.76%) were the most common causes of pediatric surgery in Rwanda."";

""Surgery for Trauma and Burn accounted for 36.58% of or the procedures, fractures accounted for 24.7% of all the pediatric surgery done in Rwandan referral hospitals, followed by burn with 3.8%. """,Lack of specialists; Limited pediatric beds,“No full-time pediatric surgeons or anesthesiologists”; “Children admitted to adult wards due to overflow”,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data limitations,“Lack of comprehensive data on pediatric surgical outcomes”
An Outreach Experience With Cleft Lip/Palate Surgery in selected Hospitals in Kenya,"Wanjala N., Khainga S.",11-Jan,"""To describe the presentation and surgical care of patients managed for cleft lips and palates during a surgical outreach program.""",congenital malformations,cleft lip; cleft palate,"""The overall pattern of deformity encountered and the morbidity profile correlate with other studies. There is need to intensify more outreach programs to capture younger patients and address the backlog of cleft cases in the community.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team approach to management of oro‑facial cleft among African practitioners: A survey,"Akinmoladun V.I., Obimakinde O.S., Okoje V.N.",12-Feb,"""The purpose of this study was to evaluate the practice of the team approach concept by professionals involved in cleft care in Africa. Analysis of the scope of services rendered by 
such teams (where they exist) was also done""",congenital malformations,"cleft lip, cleft palate","""Findings from this study have shown that interdisciplinary care for the cleft patient is not yet fully established in Africa. The result obtained also suggests that cleft care in African population is young, and team care is perhaps 
many years behind the global trend. This may be a result of several reasons ranging from lack of sufficient specialists in African population generally to the relatively young age of cleft care practice in that part of the world.""",Human resource shortages,"""Factors such as lack of adequate personnel, 
attitudinal problems, and sociocultural issues are problems affecting interdisciplinary cleft care in our environment""

""The non‑existence of these specialties in 
most cleft palate teams makes it difficult to practice the concept of team care""",direct and indirect costs,"Lack of healthcare personnel in some communities, socio cultural beliefs, and financial considerations may be responsible for 
late presentation in our environment.""

"" In this survey, the greatest challenge facing cleft management was finance [71.5% of respondents] as most parents are indigent and are unable to provide fund for treatment of the cleft child.""",NA,NA,cultural beliefs,"""Factors such as lack of adequate personnel, 
attitudinal problems, and sociocultural issues are problems affecting interdisciplinary cleft care in our environment""

""Sociocultural beliefs such as tracing the etiology of the 
condition to certain spiritual forces also constitute another 
challenge to cleft care in this part of the world.""",late presentation,"""Late presentation... adult cleft cases still seen""",Funding gaps,"""Funding for cleft management is poor as only 34.1% of  the respondents were currently enjoying financial support 
for treatment of their patients. """,surgeon training gaps; Continuing medical education,"""Moreover, most of the respondents were less than 10 years post specialization, and they may not have adequate 
exposure and experience regarding secondary procedures and treatment.""

""Only 47.3% of the respondents engage in research activities. This may be explained by the fact that 40.7% of the respondents practiced in teaching hospitals where 
research is mandatory. This may not be a positive finding, as research is essential for better understanding of the 
condition and ultimately care and prevention""",Health worker percieved need,"""Primary repair of cleft was the most common procedure done by the surgeons while secondary procedures were reported by less than 20% of the surgeons. Lack of interest and poor perception of the need for secondary procedures on the part 
of the patients and poor finances may be responsible for this 
finding."""
Treatment of cicatricial eyelid ectropion: experience with the use of full thickness skin graft at Jos,"Yiltok S.J., Osho O.P., Wade P.D., et al.",9-May,"""We report our experience in the management of cicatricial ectropion of the eyelids using full thickness skin graft.""","burns, trauma, infections",cicatricial eyelid ectropion,"“A total of 18 patients were seen, nine males and nine females. Their ages ranged from 6 to 70 years (mean 27.4 ± 20.8 years).”

“The causes of the ectropion were flame burn in 10, road traffic accident (RTA) in 3, acid burn, herpes zoster and drug reaction in one (1) each.”

“Full thickness skin graft was used in all the reconstructions. One of the patients had a previous reconstruction with split thickness graft.”",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pre axial polydactyly: Our experience at the Rift Valley Provincial General Hospital, Nakuru, Kenya","Oduor P., Mak’Anyengo S.",15-Dec,"""The aim of our study was to determine the frequency of occurrence of pre-axial polydactyly at our reconstructive surgery clinic and to identify the types of anatomical deformity present in these patients""",congenital malformations,Preaxial polydactyly (thumb duplication),"Most common deformity was Wassel Type IV (55.6%). All patients had good postoperative outcomes. One-third had associated malformations.;

""Pre axial polydactyly is not common in our environment. This malformation offers a challenge in deciding which digit should be removed. The reconstruction requires an appreciation of the anatomical deformities present. The surgical management of polydactyly has evolved from simple ablation of extra digit to well planned surgical management with careful consideration of anatomy, functional outcome and cosmetic appeal..""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burns and Scalds - Epidemiology and Prevention in a Developing Country,"Olaitan P.B., Olaitan J.O.",4-Nov,"""Our aim is therefore to highlight some of these burn preventive programs bearing in mind the epidemiology of burn in Nigeria.""",Burns,"""Burns and scalds caused by fire, hot liquids, contact with hot surfaces or chemicals.""","People affected are mostly of poor socioeconomic status. The cost of managing these injuries is high. Coupled with this are poor facilities in most parts of the developing countries like Nigeria and insufficient personnel to take care of this group of people.

The lack of facilities, shortage of antimicrobial agents and dressings, and scarcity of medical personnel trained for burn rehabilitation are problems faced by the majority of burn patients in Africa.

The financial burden of these procedures to the patients as well as our limited hospital resources is enormous. More so when helpful programs like the health insurance scheme is yet to take effect in most developing countries.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burns in pregnancy: Five-year experience in a tertiary hospital in southeastern nigeria,"Nnadozi U.U, Maduba C.C, Okorie G.M, et al.",21-Sep,"""This study attempts to provide an update and recent evidence regarding burns in pregnancy, by determining the clinical presentation, management and treatment outcomes of cases managed at the burns and plastic unit of AE-FUTHA.""",Burns,"flame burns, scald burns, and friction burns.","""Most burn injuries in pregnancy were seasonal and occurred after the first trimester with majority of pregnancies carried to term. Early involvement of obstetricians in all burns affecting pregnant women is advised especially in burn centres where obstetricians are hardly in the employ.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PATTERN OF PRESENTATION AND OUTCOME OF TRAUMATIC INJURIES AT THE ACCIDENT AND EMERGENCY DEPARTMENT OF A MAJOR TEACHING HOSPITAL SOUTHEAST NIGERIA,"Nnadozie U.U., Ekwedigwe H.C., Maduba C.C., et al.",20-Nov,"To find the pattern and characteristics of injuries in the environment and their outcomes to help develop policies, preventive measures, and effective management protocols.",trauma,"Head injuries, polytrauma, limb fractures/dislocations, soft tissue injuries","Road traffic accidents (70%) were the leading cause of trauma. Head injuries were the most common and accounted for the highest mortality (53.8%). DAMA was common among fracture patients (33.2%).

""The limbs were the most affected body part. This include fractures, dislocations and, soft tissue injuries of the limbs. They also constituted most of the cases possibly minor injuries that were managed and discharged from ER."";
""The majority (44.3%) of the trauma patients were successfully managed and discharged from ER."";
""A mortality rate in ER of 3.2% was observed in this study and, were seen largely in patients that sustained head injury from road traffic accidents."";
""The young productive age groups were more vulnerable to trauma. Road traffic accidents and assault were the leading causes of traumatic injuries that presented to the study center.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Review of Plastic and Reconstructive Surgery in a General Hospital Setting: Experience from a Developing Country,"Bakhiet M.Y., HabibAlla E.H.M., Assil S.M., et al.",23-Mar,"- ""This study reviews and demonstrates plastic surgery services and experiences in a district hospital and underserved areas.""
_ ""Additionally, challenges and obstacles of the hospital setup as well as the development plans have been discussed.""",trauma; injury; burn; congenital malformation; tumor; aesthetics,"fingertip injury; cut wrist, cut extensor; nerve injury; crush hand; ring avulsion injury; thumb amputation; fracture hand bones; gunshot injury; lower limb trauma; cuts over the face; eyelid injury; human bites (lip and nose); burn contracture; cleft lip and/or
palate; polydactyl; spina bifida; hypospadias; hemangioma;  squamous cell carcinoma; basal cell carcinoma; malignant melanoma; breast cancer; soft tissue sarcoma; sagging abdomen; scar revision; macromastia; gynecomastia; neglected hand injury; mallet finger; drop wrist; mycetoma hand; mycetoma foot; keloid surgery; cut achilles tendon","- ""...experience of a plastic surgeon working in a hospital with no specialized setting for plastic surgery with reasonable success in terms of the immediate outcome.""
- ""A large volume of patients’ need help in those areas, so upgrading the hospital and establishment with well-equipped units to support plastic surgeons in the peripheries and enhancing their training is crucial to develop the service outside the capital.""",infrastructure limitations; human resource limitation,"""We did not use free tissue transfer in our setting due to a lack of facilities. These include a lack of microsurgery-trained personnel and equipment, which makes the management of some cases challenging, so we referred some cases to more well-equipped centers.""",direct costs; indirect costs,"""...the access to the service in the capital is demanding financially, and difficult in terms of traveling.""",NA,NA,NA,NA,NA,NA,funding gaps; lack of awareness; lack of strategy,"- ""plastic surgery has been on a downward trend recently in our country...""
- ""...in the last five years...five units of plastic surgery service were established...""; ""Within two years of this, only two centers were still providing the service.",NA,NA,NA,NA
"Burn injuries in Enugu, Nigeria","Jiburum B.C., Olaitan P.B.",2005,"""This study aims to review both adults and children with acute burns managed in our unit over 5 year period.""",burns,"flame burns, scald burns, chemical burns, and electrical burns.","""The incidence and mortality of burn injury has remained high in this environment. We suggest a well targeted prevention campaign program to reduce this high incidence and high mortality in this environment.""",NA,NA,NA,NA,NA,NA,NA,NA,present late,"""patients often present late
due to ignorance, poverty and dearth of Support facilities, like ambulance and first aid services""",NA,NA,NA,NA,NA,NA
"Analysis of Soft Tissue Injuries and Scarring Following Terrorist Bomb Explosion at American Embassy in Nairobi, Kenya","Adungo J.I., Mutispo V.M., Ngugi M., et al.",14-Dec,"""This retrospective observational descriptive study was aimed at determining the pattern of soft tissue injuries and subsequent scars that followed the American Embassy Terrorist Bomb Explosion in Nairobi.""

""...the authors felt that the data collected on soft tissue  injuries and scarring should be published in order to allow researchers to compare and contrast these injuries and outcomes with other similar events. It would also assist in some way to increase understanding of this type of event and perhaps be a factor in Disaster management planning.""",trauma,soft tissue injuries; blunt or penetrating trauma; scarring; thermal and inhalation burns; tympanic membrane rupture,"Despite the fact that explosions vary greatly in the numbers of victims they claim and the nature of injuries they inflict, several general conclusions may be drawn: 
1. The majority of patients sustained minor soft tissue injuries, mainly caused by flying glass and debris and may be treated as outpatients. 
2. Injuries predominantly affect the head and neck and peripheries, suggesting that clothing has a protective role8
3. Although injuries to the chest and abdominal organs are uncommon after explosions, they are associated with a high morbidity. 
4. Primary blast injuries to the lungs are infrequently seen in survivors8. It is possible they may be responsible for some deaths occurring before the victims arrive in hospital. 
5. Scars are the most frequent complication following blast injury and so form the bulk of work during reconstruction.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sub-specialization in plastic surgery in Sub-saharan Africa: capacities, gaps and opportunities",Ibrahim A.,14-Sep,"To explore the benefits, current gaps, and future role of sub-specialization in plastic surgery in Sub-Saharan Africa, and to propose models for sustainable training.","Burns, trauma, congenital anomalies, malignancies, infections",NA,"There is a significant gap between the burden of disease and the availability of plastic surgeons in Sub-Saharan Africa. Sub-specialization is essential but underdeveloped. The Sandwich fellowship model is proposed as a sustainable training solution.

""Nigeria with a population of over 140 million citizens has only seventy-two (72) plastic surgeons actively practicing in the country [11]. There are three (3) plastic surgeons in Uganda [14] and one (1) in Zambia [5]. This situation is further aggravated by a major paradigm shift from discipline-based to disease-based care, resulting in an emerging component of patient - centered care; adequate access to subspecialty care in plastic and reconstructive surgery [15- 17].""

""Recently, there has being a major paradigm shift from discipline-based to disease-based care, resulting in an emerging component of patient-centered care; adequate access to subspecialty care in plastic and reconstructive surgery. Given the 
need for an evolution in sub-specialization""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lack of national planning,“Disconnect... of public policy and implicit societal preferences”,Cost of training; Limited subspecialty training,“Fellowship training... can place a significant burden on the spouse and family”; “Subspecialization is essential... but underdeveloped in Sub-Saharan Africa”,NA,NA
Surgical Reconstruction of Northern Uganda War Victims,"Kalanzi E.W., Ssentongo R., Alenyo R., et al.",7-Apr,"""To physically rehabilitate war victims through reconstructive surgery by restoring missing body parts both anatomically and functionally.""",trauma (War-related mutilations),"mutilations of the lips ( upper, lower or both lips); mutilation or injury of noses, ears, breasts, hands, and feet; burns","""Most of these people had suffered  severe disfigurements which necessitated multiple staged reconstructive procedures on them."";
""The majority of the reconstructive operations were on the lips despite the fact that many victims had also suffered from mutilation of other body parts."";
""A number of patients could not be operated from the local hospitals because of the rudimentary state of the healthy systems in these areas following the twenty years of war.""",infrastructure limitations,"""A number of patients could not be operated from the local hospitals because of the rudimentary state of the healthy systems in these areas following the twenty years of war.""",NA,NA,NA,NA,lack of awareness,"""areness by victims, government and potential funders of possibility of successful surgical reconstruction""",NA,NA,NA,NA,NA,NA,biased attitudes towards indigenous experts,"""attitudes of our stake holders towards indigenous experts; nostalgia about visiting plastic surgeon being the only ones who can do the work"""
"DEVELOPING A BURN UNIT: OUR EXPERIENCE AT ALEX EKWUEME FEDERAL UNIVERSITY TEACHING HOSPITAL ABAKALIKI, SOUTHEAST NIGERIA","Maduba C.C., Nnadozie U.U., Okorie G.M., et al.",2022,"""We aim to share our experience to stimulate our colleagues in different tertiary institutions to commence the process of setting up a Burn Unit in their respective institutions.""",burns,burns,"""A strong commitment is required from the plastic surgeons to drive the process of setting up a  Burn Unit through a rigorous transition from a burn facility smoothened by the ability to make a case for expansion of an existing unit."";
""The will-power of the plastic surgeon drives the process of starting up a burn facility and transiting smoothly to a befitting burn unit in a tertiary  health care facility. When this is tactfully done, the resultant increase in burn care capacity snowballs to an improved outcome in the burn care.""",Infrastructure limitation,"""Some burnpatients were also managed in both General surgical and Orthopaedic wards due to insufficient bed space in the plastic surgery ward""",NA,NA,NA,NA,NA,NA,Percieved need for surgery,"""A major challenge to our progressing from the burn facility to burn unit was the failure of the key players in the different level of management to appreciate the need for a distinct burn unit  without considering it an undue favour to plastic division which is a mere unit of the department of Surgery""",NA,NA,NA,NA,NA,NA
MANAGEMENT OF CONTRACTURES: A FIVE-YEAR EXPERIENCE AT KOMFO ANOKYE TEACHING HOSPITAL IN KUMASI,Adu E.J.K.,11-Jun,"""The current study was undertaken to document the spectrum and management of patients with contractures of various types and etiologies presenting to the author at the Plastic and Reconstructive Surgery Unit of Komfo Anokye Teaching Hospital in Kumasi.""","infections, burns, congenital malformations",contractures of various etiologies,"""Thermal burns and soft tissue infections are the commonest causes of severe contractures that involve especially the hands and upper half of the body. Children and young adults are particularly at risk. These causes of contractures can be prevented by early and adequate treatment of the acute forms of these conditions.""",NA,NA,NA,NA,NA,NA,sociocultural handicaps,"""About 14 % of the patients presented with sociocultural handicaps associated with contractures located  in special sites such as the perineum, groin, head and 
neck.""",NA,NA,NA,NA,NA,NA,NA,NA
