title_3,author,date_of_publication,aim_of_the_study,general_category_of_pathology,specific_pathology,main_study_findings,patient_related_barrier,patient_related_description
Team approach to management of oro‑facial cleft among African practitioners: A survey,"Akinmoladun V.I., Obimakinde O.S., Okoje V.N.",12-Feb,"""The purpose of this study was to evaluate the practice of the team approach concept by professionals involved in cleft care in Africa. Analysis of the scope of services rendered by 
such teams (where they exist) was also done""",congenital malformations,"cleft lip, cleft palate","""Findings from this study have shown that interdisciplinary care for the cleft patient is not yet fully established in Africa. The result obtained also suggests that cleft care in African population is young, and team care is perhaps 
many years behind the global trend. This may be a result of several reasons ranging from lack of sufficient specialists in African population generally to the relatively young age of cleft care practice in that part of the world.""",late presentation,"""Late presentation... adult cleft cases still seen"""
Treatment of cicatricial eyelid ectropion: experience with the use of full thickness skin graft at Jos,"Yiltok S.J., Osho O.P., Wade P.D., et al.",9-May,"""We report our experience in the management of cicatricial ectropion of the eyelids using full thickness skin graft.""","burns, trauma, infections",cicatricial eyelid ectropion,"“A total of 18 patients were seen, nine males and nine females. Their ages ranged from 6 to 70 years (mean 27.4 ± 20.8 years).”

“The causes of the ectropion were flame burn in 10, road traffic accident (RTA) in 3, acid burn, herpes zoster and drug reaction in one (1) each.”

“Full thickness skin graft was used in all the reconstructions. One of the patients had a previous reconstruction with split thickness graft.”",NA,NA
"Pre axial polydactyly: Our experience at the Rift Valley Provincial General Hospital, Nakuru, Kenya","Oduor P., Mak’Anyengo S.",15-Dec,"""The aim of our study was to determine the frequency of occurrence of pre-axial polydactyly at our reconstructive surgery clinic and to identify the types of anatomical deformity present in these patients""",congenital malformations,Preaxial polydactyly (thumb duplication),"Most common deformity was Wassel Type IV (55.6%). All patients had good postoperative outcomes. One-third had associated malformations.;

""Pre axial polydactyly is not common in our environment. This malformation offers a challenge in deciding which digit should be removed. The reconstruction requires an appreciation of the anatomical deformities present. The surgical management of polydactyly has evolved from simple ablation of extra digit to well planned surgical management with careful consideration of anatomy, functional outcome and cosmetic appeal..""",NA,NA
Burns and Scalds - Epidemiology and Prevention in a Developing Country,"Olaitan P.B., Olaitan J.O.",4-Nov,"""Our aim is therefore to highlight some of these burn preventive programs bearing in mind the epidemiology of burn in Nigeria.""",Burns,"""Burns and scalds caused by fire, hot liquids, contact with hot surfaces or chemicals.""","People affected are mostly of poor socioeconomic status. The cost of managing these injuries is high. Coupled with this are poor facilities in most parts of the developing countries like Nigeria and insufficient personnel to take care of this group of people.

The lack of facilities, shortage of antimicrobial agents and dressings, and scarcity of medical personnel trained for burn rehabilitation are problems faced by the majority of burn patients in Africa.

The financial burden of these procedures to the patients as well as our limited hospital resources is enormous. More so when helpful programs like the health insurance scheme is yet to take effect in most developing countries.",NA,NA
Burns in pregnancy: Five-year experience in a tertiary hospital in southeastern nigeria,"Nnadozi U.U, Maduba C.C, Okorie G.M, et al.",21-Sep,"""This study attempts to provide an update and recent evidence regarding burns in pregnancy, by determining the clinical presentation, management and treatment outcomes of cases managed at the burns and plastic unit of AE-FUTHA.""",Burns,"flame burns, scald burns, and friction burns.","""Most burn injuries in pregnancy were seasonal and occurred after the first trimester with majority of pregnancies carried to term. Early involvement of obstetricians in all burns affecting pregnant women is advised especially in burn centres where obstetricians are hardly in the employ.""",NA,NA
PATTERN OF PRESENTATION AND OUTCOME OF TRAUMATIC INJURIES AT THE ACCIDENT AND EMERGENCY DEPARTMENT OF A MAJOR TEACHING HOSPITAL SOUTHEAST NIGERIA,"Nnadozie U.U., Ekwedigwe H.C., Maduba C.C., et al.",20-Nov,"To find the pattern and characteristics of injuries in the environment and their outcomes to help develop policies, preventive measures, and effective management protocols.",trauma,"Head injuries, polytrauma, limb fractures/dislocations, soft tissue injuries","Road traffic accidents (70%) were the leading cause of trauma. Head injuries were the most common and accounted for the highest mortality (53.8%). DAMA was common among fracture patients (33.2%).

""The limbs were the most affected body part. This include fractures, dislocations and, soft tissue injuries of the limbs. They also constituted most of the cases possibly minor injuries that were managed and discharged from ER."";
""The majority (44.3%) of the trauma patients were successfully managed and discharged from ER."";
""A mortality rate in ER of 3.2% was observed in this study and, were seen largely in patients that sustained head injury from road traffic accidents."";
""The young productive age groups were more vulnerable to trauma. Road traffic accidents and assault were the leading causes of traumatic injuries that presented to the study center.""",NA,NA
Review of Plastic and Reconstructive Surgery in a General Hospital Setting: Experience from a Developing Country,"Bakhiet M.Y., HabibAlla E.H.M., Assil S.M., et al.",23-Mar,"- ""This study reviews and demonstrates plastic surgery services and experiences in a district hospital and underserved areas.""
_ ""Additionally, challenges and obstacles of the hospital setup as well as the development plans have been discussed.""",trauma; injury; burn; congenital malformation; tumor; aesthetics,"fingertip injury; cut wrist, cut extensor; nerve injury; crush hand; ring avulsion injury; thumb amputation; fracture hand bones; gunshot injury; lower limb trauma; cuts over the face; eyelid injury; human bites (lip and nose); burn contracture; cleft lip and/or
palate; polydactyl; spina bifida; hypospadias; hemangioma;  squamous cell carcinoma; basal cell carcinoma; malignant melanoma; breast cancer; soft tissue sarcoma; sagging abdomen; scar revision; macromastia; gynecomastia; neglected hand injury; mallet finger; drop wrist; mycetoma hand; mycetoma foot; keloid surgery; cut achilles tendon","- ""...experience of a plastic surgeon working in a hospital with no specialized setting for plastic surgery with reasonable success in terms of the immediate outcome.""
- ""A large volume of patients’ need help in those areas, so upgrading the hospital and establishment with well-equipped units to support plastic surgeons in the peripheries and enhancing their training is crucial to develop the service outside the capital.""",NA,NA
"Burn injuries in Enugu, Nigeria","Jiburum B.C., Olaitan P.B.",2005,"""This study aims to review both adults and children with acute burns managed in our unit over 5 year period.""",burns,"flame burns, scald burns, chemical burns, and electrical burns.","""The incidence and mortality of burn injury has remained high in this environment. We suggest a well targeted prevention campaign program to reduce this high incidence and high mortality in this environment.""",present late,"""patients often present late
due to ignorance, poverty and dearth of Support facilities, like ambulance and first aid services"""
"Analysis of Soft Tissue Injuries and Scarring Following Terrorist Bomb Explosion at American Embassy in Nairobi, Kenya","Adungo J.I., Mutispo V.M., Ngugi M., et al.",14-Dec,"""This retrospective observational descriptive study was aimed at determining the pattern of soft tissue injuries and subsequent scars that followed the American Embassy Terrorist Bomb Explosion in Nairobi.""

""...the authors felt that the data collected on soft tissue  injuries and scarring should be published in order to allow researchers to compare and contrast these injuries and outcomes with other similar events. It would also assist in some way to increase understanding of this type of event and perhaps be a factor in Disaster management planning.""",trauma,soft tissue injuries; blunt or penetrating trauma; scarring; thermal and inhalation burns; tympanic membrane rupture,"Despite the fact that explosions vary greatly in the numbers of victims they claim and the nature of injuries they inflict, several general conclusions may be drawn: 
1. The majority of patients sustained minor soft tissue injuries, mainly caused by flying glass and debris and may be treated as outpatients. 
2. Injuries predominantly affect the head and neck and peripheries, suggesting that clothing has a protective role8
3. Although injuries to the chest and abdominal organs are uncommon after explosions, they are associated with a high morbidity. 
4. Primary blast injuries to the lungs are infrequently seen in survivors8. It is possible they may be responsible for some deaths occurring before the victims arrive in hospital. 
5. Scars are the most frequent complication following blast injury and so form the bulk of work during reconstruction.",NA,NA
"Sub-specialization in plastic surgery in Sub-saharan Africa: capacities, gaps and opportunities",Ibrahim A.,14-Sep,"To explore the benefits, current gaps, and future role of sub-specialization in plastic surgery in Sub-Saharan Africa, and to propose models for sustainable training.","Burns, trauma, congenital anomalies, malignancies, infections",NA,"There is a significant gap between the burden of disease and the availability of plastic surgeons in Sub-Saharan Africa. Sub-specialization is essential but underdeveloped. The Sandwich fellowship model is proposed as a sustainable training solution.

""Nigeria with a population of over 140 million citizens has only seventy-two (72) plastic surgeons actively practicing in the country [11]. There are three (3) plastic surgeons in Uganda [14] and one (1) in Zambia [5]. This situation is further aggravated by a major paradigm shift from discipline-based to disease-based care, resulting in an emerging component of patient - centered care; adequate access to subspecialty care in plastic and reconstructive surgery [15- 17].""

""Recently, there has being a major paradigm shift from discipline-based to disease-based care, resulting in an emerging component of patient-centered care; adequate access to subspecialty care in plastic and reconstructive surgery. Given the 
need for an evolution in sub-specialization""",NA,NA
Surgical Reconstruction of Northern Uganda War Victims,"Kalanzi E.W., Ssentongo R., Alenyo R., et al.",7-Apr,"""To physically rehabilitate war victims through reconstructive surgery by restoring missing body parts both anatomically and functionally.""",trauma (War-related mutilations),"mutilations of the lips ( upper, lower or both lips); mutilation or injury of noses, ears, breasts, hands, and feet; burns","""Most of these people had suffered  severe disfigurements which necessitated multiple staged reconstructive procedures on them."";
""The majority of the reconstructive operations were on the lips despite the fact that many victims had also suffered from mutilation of other body parts."";
""A number of patients could not be operated from the local hospitals because of the rudimentary state of the healthy systems in these areas following the twenty years of war.""",NA,NA
"DEVELOPING A BURN UNIT: OUR EXPERIENCE AT ALEX EKWUEME FEDERAL UNIVERSITY TEACHING HOSPITAL ABAKALIKI, SOUTHEAST NIGERIA","Maduba C.C., Nnadozie U.U., Okorie G.M., et al.",2022,"""We aim to share our experience to stimulate our colleagues in different tertiary institutions to commence the process of setting up a Burn Unit in their respective institutions.""",burns,burns,"""A strong commitment is required from the plastic surgeons to drive the process of setting up a  Burn Unit through a rigorous transition from a burn facility smoothened by the ability to make a case for expansion of an existing unit."";
""The will-power of the plastic surgeon drives the process of starting up a burn facility and transiting smoothly to a befitting burn unit in a tertiary  health care facility. When this is tactfully done, the resultant increase in burn care capacity snowballs to an improved outcome in the burn care.""",Percieved need for surgery,"""A major challenge to our progressing from the burn facility to burn unit was the failure of the key players in the different level of management to appreciate the need for a distinct burn unit  without considering it an undue favour to plastic division which is a mere unit of the department of Surgery"""
MANAGEMENT OF CONTRACTURES: A FIVE-YEAR EXPERIENCE AT KOMFO ANOKYE TEACHING HOSPITAL IN KUMASI,Adu E.J.K.,11-Jun,"""The current study was undertaken to document the spectrum and management of patients with contractures of various types and etiologies presenting to the author at the Plastic and Reconstructive Surgery Unit of Komfo Anokye Teaching Hospital in Kumasi.""","infections, burns, congenital malformations",contractures of various etiologies,"""Thermal burns and soft tissue infections are the commonest causes of severe contractures that involve especially the hands and upper half of the body. Children and young adults are particularly at risk. These causes of contractures can be prevented by early and adequate treatment of the acute forms of these conditions.""",NA,NA
STATE DISTRIBUTION OF NEW PATIENTS PRESENTING WITH CLEFT LIP AND PALATE TO THE UNIVERSITY COLLEGE HOSPITAL: A PILOT STUDY,"Michael A.I., Olusanya A.A., Olawoye O.A., et al.",18-Dec,"The aims of the study were to identify the regional distribution of new patients presenting with cleft lip and palate, to determine any peculiarities of cleft epidemiology from the regions represented, to assess the impact of UCH on this distribution and make recommendations for subsequent awareness programs",congenital malformations,"Cleft lip, cleft palate, cleft lip and palate",83.6% of patients were from 14 of 33 LGAs in Oyo State; left-sided clefts were significantly more common (p=0.001); complete clefts were more frequent (p=0.005),NA,NA
Skin oncoplasties: O-to-Z technique a technique of choice in situation of limited resources? Case of Burkina Faso,"Zongo N., Ouedraogo N.L.M., Windsouri M., et al.",22-Mar,"""The objective of this study is to describe its [O-to-Z technique's] indications, technique and results in Ouagadougou.""",Cancer,"Skin cancers (Squamous Cell Carcinoma,Basal Cell Carcinoma,Fibrosarcoma, Undifferentiated Sarcoma,Darier and Ferrand Dermatofibrosarcoma)","O-to-Z technique reduced healing time (15 days vs. 67 days for secondary healing), had low complication and recurrence rates, and was feasible in low-resource settings.",NA,NA
Dermatofibrosarcoma protuberans surgery: Experiences of four African surgical oncology units and literature review,"Zongo N., Guigemdé R.A., Yaméogo P.B., et al.",22-Aug,"""Therefore, we undertook this study including a large number of dermatofibrosarcomas and reporting the experience of four West African surgical oncology units located in two African countries to better elucidate the indications, techniques and outcomes of this surgery.""",rare tumors,dermatofibrosarcoma,"""The large number of cases included in this study will allow us to better appreciate the therapeutic aspects, especially surgical aspects, of dermatofibrosarcoma."";
""Wide and deep resection in the absence of Mohs micrographic surgery ensures healthy margins. Oncoplasty reduces the healing time without increasing the risk of recurrence."";
""In our series, the survival was good despite the diagnostic delays due to the fact that dermatofibrosarcoma is a locally malignant tumor. Deaths are rare in the literature. However, an early diagnosis and an adapted first surgery would allow better carcinological and esthetic results and lower care costs.""",NA,NA
Issues in the surgical management of skin squamous cell cancers in albinos—experience of two surgical oncology units in Burkina Faso,"Zongo N., Djiguemde A.R., Yameogo P.B. et al.",23-Oct,"""However, no study has been specifically devoted to the surgical management of these cancers in the West African context. This is why we undertook this work with the aim of describing the indications, procedures, and  peculiarities of skin cancer surgery in this group""",neoplasms,"Multi-local, ulcerated, hemorrhagic, necrotic skin lesions","93% of cancers were operated; 41.3% had multiple synchronous cancers; 7.5% had invaded margins requiring revision; 2-year survival was 55.8%

""Surgery must meet the triple challenge of treating single or multiple synchronous cancers, precancerous lesions, and allowing good healing.""; ""The absence of extemporaneous histology and the large size of the tumors associated with the delay in diagnosis meant that surgery, whenever possible, was limited to wide and deep resection, to ensure healthy margins.""",NA,NA
"Prevalence of thoracic surgical care need in a developing country: results of a cluster-randomized, cross-sectional nationwide survey","Zogg C.K., Kamara T.B., Groen R.S., et al.",14-Nov,To estimate the prevalence of thoracic surgical need in a low-income country and consider contributing factors involved.,"Chest/breast and back conditions: acquired deformities, neoplasms, burns, trauma",NA,"7.5% reported chest/breast surgical problems; 7.4% reported back problems. 40% of those who sought care did not receive it, mostly due to inability to pay.

""One in four people were estimated to require, at a minimum, a meeting with a surgeon a number which when applied to the county's 5.98 million people results in a population of 1.50 million people requiring potential surgical care.""",NA,NA
Epidemiology of injured patients in rural Uganda: A prospective trauma registry's first 1000 days,"Zheng D.J., Sur P.J., Ariokot M.G., et al.",21-Jan,"""This study aimed to evaluate the patterns of demographics, injury characteristics, clinical markers, and health outcomes of patients arriving at Soroti Regional Referral Hospital (SRRH) for trauma care during the first 1000 days of the registry’s existence.""",trauma,"Fractures
Burns
Laceration/Bites","""Our study shows that a trauma registry can be a useful source of data for quantifying the burden of injuries and patient outcomes in an Ugandan regional referral hospital. Comparing and contrasting our registry’s findings to those of neighboring registries in sub-Saharan Africa sheds further light on the challenges faced in rural LMIC trauma care. Vulnerable populations such as children would benefit greatly from efforts to improve road safety and burn prevention, while expanding access to quality pre-hospital, neurosurgical, and orthopedic care are important targets for the strengthening of health systems.""",NA,NA
Epidemiology and management of maxillofacial trauma caused by stabbing weapon at the University Hospital of Bouake (Côte d'Ivoire),"Zegbeh-N’guessan E.K., Ory O.A.D.M, Djemi E.M., et al.",22-Dec,"""The objective of this study was to describe the epidemiological and clinical particularities and the difficulties of dealing with injuries caused by these traumas in a context of limited resources.""",trauma,maxillofacial trauma,"""The delay in the management of injuries was relatively long... factors related to the patients could be summarised as economic difficulties. Indeed, the care and its costs (medical check-ups, implants and hospitalisation) are borne by patients who have no social security coverage and low incomes.""

""In a context of limited resources such as ours, this is the right time to recall the importance of reinforcing the technical platform and efficient health infrastructures and the effective implementation of health coverage to be able to cope.""",NA,NA
Delayed access to care and unmet burden of pediatric surgical disease in resource-constrained African countries,"Yousef Y., Lee A., Ayele F., et al.",18-Jun,"""This study therefore aims to estimate the surgical delay, surgical backlog, and unmet burden of disease for five key congenital anomalies in African LMICs: cryptorchidism, cleft lip, hypospadias, bladder exstrophy, and anorectal malformation.""",congenital malformations,cryptorchidism; isolated cleft lip; hypospadias; bladder exstrophy; and anorectal malformation,"""This data supports the need for upscaling pediatric surgical capacity in LMICs to address the significant surgical delay, surgical backlog, and unmet prevalent need.""",NA,NA
"Peacekeepers suffered combat-related injuries in Mali: a retrospective, descriptive study","Yongqiang Z., Dousheng H., Yanning L., et al.",18-Nov,"""The retrospective analysis is an attempt to 
describe the combat-related injuries, including type of weapon, mortality, nature of injuries, degree and location of injuries and surgical procedures, which were cured at CHN R2 positioned in Gao for 2 years.""",combat-related injuries,"Surface injuries, orthopedic injuries, internal injuries (e.g., brain, chest, abdominal organs)","“IEDs were the most common cause of injury (65%). Extremities were the most frequently injured body parts (73.09%). Surgical debridement and fragment removal were the most common procedures.”

""The surgical debridement to remove fragments of explosive was the most frequently performed surgery.""",NA,NA
A Cost-Effectiveness Analysis of a Pediatric Operating Room in Uganda,"Yap A., Muzira A., Cheung M., et al.",18-May,"""With the need for better metrics to justify the development of surgical interventions in the global setting, the aim of this study was to quantify the disease burden averted by a pediatric OR to provide a better estimate about the cost and health consequences of furnishing a pediatric OR.""",pediatric surgical cases,NA,"""The first dedicated pediatric OR in Uganda has an ICER of $6.39 per DALY averted, and a $397.95 per life saved compared to the prior practice where there was no consistently available curative treatment for pediatric surgical disease. Based on the current WHO guidelines, the OR appears to be well below the cost-effective threshold of 3 times the country’s GDP per capita and remains cost effective when a 3% time discount is applied.""",NA,NA
Burden of surgical congenital anomalies in Kenya: a population-based study,"Wu V.K., Poenaru D., Poley M.J.",13-Feb,"""The objective of this study was to estimate both the prevalence and the disease burden of several common congenital surgical malformations among children in Kenya.""",congenital malformations,"""Club foot, hypospadias, hydrocephalus, spina bifida/encephalocele, cleft lip, bladder exstrophy and imperforate anus.""","""The overall prevalence of congenital malformations was 6.3 per 1000 children, amounting to 54–120 DALYs per 1000 children, depending on the life tables used. The most prevalent condition in the survey was club foot, whereas spina bifida had the highest burden of disease.""; 
""Congenital malformations are likely to be underreported due to stigmatization or fear associated with being rejected by the community.""

",NA,NA
Burden of surgically correctable disabilities among children in the Dadaab Refugee Camp,"Wu V.K., Poenaru D.",13-Jan,"""The objective of this study was to calculate the burden of surgically averted disease among children in the world’s largest refugee camp and estimate the cost-effectiveness of surgical intervention in this group.""",congenital malformations and acquired conditions,"Congenital Conditions: Cleft lip and palate, clubfoot, hydrocephalus (VP shunt insertion), hypospadias, anorectal malformations (imperforate anus, colostomy, PSARP).

Acquired Conditions: Burn contractures, trauma-related injuries (debridement, dressing changes, cast changes), biopsy procedures.","""The total number of DALYs averted ranged from 4,136 to 9,529 (6.4–14.8 per patient), depending on the calculation method used."";
""Cost-effectiveness analysis resulted in values of $40–$88 per DALY.""; 
""The unique variety of surgical conditions, both congenital and acquired, presenting in the refugee camp reflects a population virtually devoid of previous access to surgical care."";
""Plastic and general surgical procedures accounted for the most total attributable DALYs averted, and general and neurosurgical procedures resulted in the largest number of averted DALYs per patient."";
""The burden of pediatric surgical disabling impairments in refugee camps is substantial. Surgical intervention to address this burden is both feasible and cost effective. Such intervention can significantly decrease the burden of disability among children affected by armed conflicts.""",NA,NA
Prevalence of surgical conditions in individuals aged more than 50 years: a cluster-based household survey in Sierra Leone,"Wong E.G., Kamara T.B., Groen R.S., et al.",14-May,"""We sought to assess the prevalence of surgical disease and disability in the elderly population of Sierra Leone to guide future development strategies.""",congenital malformations; neoplasms; trauma; burns,acquired deformity; mass (hard and soft); wound (not injury related); wound (injury related); burn; abdominal distention or pain; urological complaints; congenital deformity; bleeding form rectum,"“Of the elderly individuals in our sample, 301 (60.7%) reported a current surgical condition.”

65.8% of those with a condition described it as disabling.

“Of the 230 elderly deaths in the previous year, 83 (36.1%) reported a surgical condition in the week prior.” 

When questioning elderly individuals with current
surgical problems who did not seek healthcare (n = 272), the main reasons cited were lack of financial resources for healthcare (160; 58.8 %) and for transport (4; 1.5 %), lack of time (5; 1.8 %) and trust in the healthcare facility (12; 4.4 %), no access to a skilled healthcare worker (31; 11.4 %), or no need for medical care as deemed by the individual (60; 22.1 %).""",NA,NA
Cleft lip and palate surgery carried out by one team in Uganda: where have all the palates gone?,"Wilson J., Hodges A.",NA,"""To determine the distribution of clefts in our operated population in comparison with data in the world literature""",congenital malformations,cleft lip; cleft palate,"""The distribution of sex and laterality broadly correlates with findings of other studies; however, a large discrepancy in the proportions of CL, CLP, and CP is apparent. Much higher numbers of CLs and much lower numbers of CLP and CP presented than would be expected in comparison with worldwide literature (2% of patients had an isolated CP). It is hypothesized that the low numbers of patients presenting with combined CLP and CP are due to high mortality among this cohort. If this hypothesis is correct, then in this series of 1304 cleft patients, as many as 3526 CP patients (91% of all CPs) are missing and probably died before undergoing surgical correction.""",Perceived need for surgery,"""For patients with cleft palate, lack of attendance is likely due to the fact that the palate is not being noticed or is not considered important. These patients may still be in the community and may not be presenting to the hospital for these reasons. Under-diagnosis of cleft palate by visiting teams and lack of education that clefts can be repaired lead to nonattendance and lower numbers of patients presenting.""

""Patients may not attend because of lack of education about the condition or lack of knowledge of where or how to get help"""
