Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
African primary research publications in plastic surgery: A PRISMA-S-compliant systematic review,"Dje Bi Dje-Assi, V.; Amouzou, K. S.; Kouevi-Koko, T. E.; Jalloh, A.","Background: Plastic surgery (PS) in Africa is a relatively young surgery specialty, and the number of available plastic surgeons on average is one or two surgeons per country in many African low-income countries. This systematic review aims to geographically map the research activities through scientific publications of African PS centres, between February 2012-February 2023. Methods: We searched four literature databases (Medline, Embase, Google Scholar and African Journal Online) and did a manual search. We included case reports, randomised controlled trials, and clinical, comparative, observational and multicentre studies conducted in Africa and published in English and French. In the Google Scholar database, we analysed the first 200 references (scientific articles) selected per relevance according to the Boolean terms. In the African Journals Online database, we analysed the references from the first five pages. The selected keywords were: burns, trauma reconstruction, pressure injuries, wound, cleft lip and palate, breast reconstruction, microsurgery, aesthetic surgery, face surgery, head and neck surgery, hand surgery, open fracture surgery, oculoplastic surgery, skin surgery, and soft tissue surgery. Results: We retrieved a total of 228 articles. Out of the 73 African centres we identified, 27 were in the North, 22 in the West, 8 in the East, 3 in the Centre, and 14 in the South. Most of the retrieved 228 articles involved burns (60, 26.31%), congenital abnormalities (52, 22.80%) and reconstruction (28,12.80%); however, other conditions, such as breast or skin cancer, hand surgery, microsurgery or aesthetics are emerging. The studies were case reports/case series (93, 40.78%), retrospective (78, 34.21%), prospective (36, 15.78%), randomised controlled studies (10, 4.38%), cross-sectional (5, 2,19%) and cohort (2, 0.87%). Conclusions: Beyond burns, congenital abnormalities, or reconstructions, other PS indications are emerging, such as skin cancer, breast reconstruction, hand surgery, microsurgery, and aesthetics.",2024,,"Journal of Plastic, Reconstructive and Aesthetic Surgery",91,,421-429,,10.1016/j.bjps.2024.01.058,15644,#2434,DjeBiDje-Assi 2024,"",Burden
A prospective surgery of patients with cleft lip and palate in kumasi,"Donkor, P.; Plange-Rhule, G.; Amponsah, E. K.","Background: There has been a steady increase in the number of patients with cleft lip and palate being treated at our hospital. Objective. The aim of the study was to determine the socio-demographic characteristics of patients with cleft lip and palate as seen in a hospital setting. Methods: New and consecutive patients with cleft lip and palate attending the maxillofacial clinic during the period between February 2003 and January 2004 were prospectively surveyed. Data including age of child, gender, address, type of cleft, associated birth anomalies, family history of cleft, mother's age at birth of child, mother's occupation, and mother's smoking and drinking habits were collected and analyzed using a SPSS package. Results: Seventy-four new cases of cleft lip and palate were seen comprising 33 males and 41 females. Their ages ranged from one day old to 21 years with an overall mean age of 10 months. Cleft lip alone (57%) was the most common presentation. Seventy percent of the mothers were less than 30 years of age. Majority (76%) lived in the Ashanti Region, i.e. within less than 80 kilometres from the clinic. No patient had a family history of facial cleft. Ninety-three percent of the mothers were either unemployed or worked in jobs considered as low earning which included dressmaking, hairdressing, peasant farming, and petty trading. None of the mothers smoked or drank alcohol either before or during the pregnancy. Conclusion: Cleft lip and palate was more commonly seen in low income families. The mothers were found to be relatively young. None of the patients and mothers had a family history of cleft. A larger population-based study is warranted to further clarify these findings.",2007,,West African Journal of Medicine,26,1,14-16,,,22331,#2466,Donkor 2007,"",Cleft Palate; Congenital Malformations
Burn injuries in eastern Zambia: Impact of multidisciplinary teaching teams,"Edwards, D.; Heard, J.; Latenser, B. A.; Quinn, K. Y.; Van Bruggen, J.; Jovic, G.","The American Burn Association/Children's Burn Foundation (ABA/CBF) sponsors teams who offer burn education to healthcare providers in Zambia, a sub-Saharan country. The goals of this study are 1) to acquire burn-patient demographics for the Eastern Province, Zambia and 2) to assess the early impact of the ABA/CBF-sponsored burn teams. This is a retrospective chart review of burn patients admitted in one mission hospital in Katete, Zambia, July 2002 to June 2009. July 2002 to December 2006 = data before ABA/CBF burn teams and January 2007 to June 2009 = burn care data during/after burn outreach. There were 510 burn patients hospitalized, male:female ratio 1.2:1. Average age = 15.6 years, with 44% younger than 5 years. Average TBSA burned = 11% and mean fatal TBSA = 25%. Average hospital length of stay = 16.9 days survivors and 11.6 days nonsurvivors. Most common mechanisms of burn injuries: flame (52%) and scald (41%). Ninety-two patients (18%) died and 23 (4.5%) left against medical advice. There were 191 (37.4%) patients who underwent 410 surgical procedures (range 1-13/patient). There were 138 (33.7%) sloughectomies, 118 (28.7%) skin grafts, 39 (9.5%) amputations, and 115 (28.1%) other procedures. Changes noted in the 2007 to 2009 time period: more patients had burn diagrams (48.6 vs 27.6%, P < .001), received analgesics (91 vs 84%, P = .05), resuscitation fluid (56 vs 49%, P = not significant [NS]), topical antimicrobials (40 vs 37%, P = NS), underwent skin grafting (35.5 vs 25.1%, P = NS), and underwent any operative intervention (40.6 vs 35.2%, P = NS), compared with patients treated between 2002 and 2006. This study represents the largest, most comprehensive burn data set for a sub-Saharan region in Africa. There has been a statistically significant improvement in documentation of burn size as well as administration of analgesics, validating the efficacy of the ABA/CBF-sponsored burn teams. Continued contact with burn teams may lead to increased use of resuscitation fluids, topical antimicrobials, and more patients undergoing operative intervention, translating into improved burn patient outcomes. Copyright © 2011 by the American Burn Association.",2011,,Journal of Burn Care and Research,32,1,31-38,,10.1097/BCR.0b013e318204b36a,21697,#2573,Edwards 2011,"",Burden; Burns
Pattern of Congenital Anomalies in Newborn: A 4-Year Surveillance of Newborns Delivered in a Tertiary Healthcare Facility in the South-East Nigeria,"Ekwochi, U.; Asinobi, I. N.; Osuorah, D. C. I.; Ndu, I. K.; Ifediora, C.; Amadi, O. F.; Sunday Mba, G.","Congenital abnormalities are important causes of morbidity and mortality in children and significantly add to the burdens on healthcare in developing countries. Unfortunately, there remains a paucity of information on congenital birth defects in most developing countries. This is a 4-year prospective study that assessed the patterns and predictors of congenital anomalies among newborns at the Enugu State University Teaching Hospital, Nigeria. In total, 5830 deliveries were recorded, of which 38 had congenital anomalies, giving an incidence rate of 6.5/1000 live births. Fifty-two newborns were enrolled as nested controls. Factors significantly associated with congenital anomalies were low birth weight (p = 0.009), low socio-economic class (p = 0.011), lower maternal educational attainment (p = 0.009), parity of ≥ 5 (p = 0.002), febrile illness (p = 0.001) and the use of local concoction in index pregnancy (p = 0.009). More than half of the anomalies reported involved the musculoskeletal system. Occurrence of congenital anomalies may be prevented by curtailing risk factors identified in this study.",2018,,J Trop Pediatr,64,4,304-311,28977670,10.1093/tropej/fmx067,13997,#2644,Ekwochi 2018,"Rachel Wangi (2025-01-17 23:05:16)(Select): table 2 has congenital malformation that require reconstructive surgery; Camille Beatrice Valera (2025-01-17 20:25:29)(Select): burden, congenital malformations; ",Congenital Malformations
A cross-sectional survey of burnout in a sample of resident physicians in Sudan,"Elhadi, Y. A. M.; Ahmed, A.; Salih, E. B.; Abdelhamed, O. S.; Ahmed, M. H. H.; Dabbah, N. A. E.","Background Resident physicians in Sudan face a variety of physical and psychological stressors. Nevertheless, the prevalence of burnout syndrome among this critical population remains unknown. The purpose of this study was to estimate the prevalence rate of burnout and its associated factors in a sample of resident physicians in Sudan. Methods A cross-sectional design was used to assess the burnout syndrome among resident physicians at the teaching hospitals of Wad-Medani in Gezira state, east-central Sudan. Three hundred resident physicians at the dermatology, general surgery, pediatrics, obstetrics and gynecology, psychiatry, ear, nose and throat (ENT), oncology, urology, and internal medicine departments, were approached and invited to participate in the study. The Arabic version of the Maslach Burnout Inventory was distributed to respondents from July to October 2021. Results From the 300 resident physicians, 208 (69.3%) responded. The average age of the study population was 29.99 ± 3.01 years, with more than half were females (56.7%), single (59.6%), and with more than three years of residency experience (50.5%). In total, 86.1% met the criteria for burnout in at least one dimension and 13.9% in all three dimensions. On the dimension of emotional exhaustion (EE), 70.7% reported high levels of burnout. While, 44.2% reported high levels of depersonalization (DP), and 73.1% experienced a sense of decreased professional accomplishment (PA). There were significant differences in burnout, EE, and DP levels among different specialties, with the pediatrics-specialty trainees reported higher levels. Burnout syndrome was associated with the working hours per single duty; participants who reported working for more than 24 hours had experienced higher levels of burnout, EE, and DP. Conclusion Large-scale studies are required to assess the determinants of burnout syndrome among resident physicians in Sudan. In addition, Stakeholders should urgently implement effective remedies to protect the mental health of resident physicians.",2022,,PLoS ONE,17,3 March,,,10.1371/journal.pone.0265098,16902,#2680,Elhadi 2022,Saidu Ahmad Idris (2025-01-13 22:14:52)(Select): The study include information on Burnou among Surgery residents which can provide insight on  surgical capacity and barriers to surgical care in Sudan; ,Barriers to Care
A cross-sectional survey of essential surgical capacity in Somalia,"Elkheir, N.; Sharma, A.; Cherian, M.; Saleh, O. A.; Everard, M.; Popal, G. R.; Ibrahim, A. A.","Objective: To assess life-saving and disability-preventing surgical services (including emergency, trauma, obstetrics, anaesthesia) of health facilities in Somalia and to assist in the planning of strategies for strengthening surgical care systems. Design: Cross-sectional survey. Setting: Health facilities in all 3 administrative zones of Somalia; northwest Somalia (NWS), known as Somaliland; northeast Somalia (NES), known as Puntland; and south/central Somalia (SCS). Participants: 14 health facilities. Measures: The WHO Tool for Situational Analysis to Assess Emergency and Essential Surgical Care was employed to capture a health facility's capacity to deliver surgical and anaesthesia services by investigating four categories of data: infrastructure, human resources, interventions available and equipment. Results: The 14 facilities surveyed in Somalia represent 10 of the 18 districts throughout the country. The facilities serve an average patient population of 331 250 people, and 12 of the 14 identify as hospitals. While major surgical procedures were provided at many facilities (caesarean section, laparotomy, appendicectomy, etc), only 22% had fully available oxygen access, 50% fully available electricity and less than 30% had any management guidelines for emergency and surgical care. Furthermore, only 36% were able to provide general anaesthesia inhalation due to lack of skills, supplies and equipment. Basic supplies for airway management and the prevention of infection transmission were severely lacking in most facilities. Conclusions: According to the results of the WHO Tool for Situational Analysis to Assess Emergency and Essential Surgical Care survey, there exist significant gaps in the capacity of emergency and essential surgical services in Somalia including inadequacies in essential equipment, service provision and infrastructure. The information provided by the WHO tool can serve as a basis for evidence-based decisions on country-level policy regarding the allocation of resources and provision of emergency and essential surgical services.",2014,,BMJ Open,4,5,,,10.1136/bmjopen-2013-004360,20669,#2689,Elkheir 2014,"",Access to Healthcare; Barriers to Care
Pattern of Orofacial Clefts at A Tertiary Care Hospital in Ethiopia,"Eshete, M.","BACKGROUND: Clefts of the lip and/or palate are the most common craniofacial birth defects. The worldwide birth prevalence is 1/700 live births. There are varying reports from Africa. This study investigated the patterns of orofacial clefts at a tertiary care hospital in Addis Ababa. METHODS: A retrospective descriptive study was performed to assess the patterns of Orofacial clefts at the main cleft care center in Ethiopia. The Data of cleft patients operated at the main cleft care center in Ethiopia from January 2007 to April 2020 with the support of Smile Train was used for this study. Their demographic and clinical data was retrieved from the Smile Train data base and analyzed using Stata version 16. RESULTS: A total of 1919 patients' data was retrieved, excluding 16 patients' data (.83%). The data of 1903 (99.17%) patients were enrolled in this study. Cleft lip and palate were found in 53.0% of the patients. Cleft lip only was found in 731 (38.4%) and cleft palate only in 166 (8.6%) patients. The commonest surgery performed was primary unilateral lip nose repair. Most patients were operated after the age of five years old. CONCLUSION: Many were operated after the age of five years, which is not in line with international recommendations. This needs improvement: establish more cleft care centers, distribute health care information and education.",2021,,Ethiop J Health Sci,31,6,1175-1184,35392346,10.4314/ejhs.v31i6.12,14042,#2787,Eshete 2021,"",Barriers to Care; Burden; Cleft Palate
"Mapping Disparities in Access to Safe, Timely, and Essential Surgical Care in Zambia","Esquivel, M. M.; Uribe-Leitz, T.; Makasa, E.; Lishimpi, K.; Mwaba, P.; Bowman, K.; Weiser, T. G.","IMPORTANCE: Surgical care is widely unavailable in developing countries; advocates recommend that countries evaluate and report on access to surgical care to improve availability and aid health planners in decision making. OBJECTIVE: To analyze the infrastructure, capacity, and availability of surgical care in Zambia to inform health policy priorities. DESIGN, SETTING, AND PARTICIPANTS: In this observational study, all hospitals providing surgical care were identified in cooperation with the Zambian Ministry of Health. On-site data collection was conducted from February 1 through August 30, 2011, with an adapted World Health Organization Global Initiative for Emergency and Essential Surgical Care survey. Data collection at each facility included interviews with hospital personnel and assessment of material resources. Data were geocoded and analyzed in a data visualization platform from March 1 to December 1, 2015. We analyzed time and distance to surgical services, as well as the proportion of the population living within 2 hours from a facility providing surgical care. MAIN OUTCOMES AND MEASURES: Surgical capacity, supplies, human resources, and infrastructure at each surgical facility, as well as the population living within 2 hours from a hospital providing surgical care. RESULTS: Data were collected from all 103 surgical facilities identified as providing surgical care. When including all surgical facilities (regardless of human resources and supplies), 14.9% of the population (2 166 460 of 14 500 000 people) lived more than 2 hours from surgical care. However, only 17 hospitals (16.5%) met the World Health Organization minimum standards of surgical safety; when limiting the analysis to these hospitals, 65.9% of the population (9 552 780 people) lived in an area that was more than 2 hours from a surgical facility. Geographic analysis of emergency and essential surgical care, defined as access to trauma care, obstetric care, and care of common abdominal emergencies, found that 80.7% of the population (11 704 700 people) lived in an area that was more than 2 hours from these surgical facilities. CONCLUSIONS AND RELEVANCE: A large proportion of the population in Zambia does not have access to safe and timely surgical care; this percentage would change substantially if all surgical hospitals were adequately resourced. Geospatial visualization tools assist in the evaluation of surgical infrastructure in Zambia and can identify key areas for improvement.",2016,,JAMA Surg,151,11,1064-1069,27580500,10.1001/jamasurg.2016.2303,13425,#2794,Esquivel 2016,"",Access to Healthcare; Barriers to Care
Motorcycle Road Traffic Injuries in a Tertiary Hospital in Nigeria: A Reflection of the Trauma Care Crisis,"Ezeme, C.; Oladeji, E. O.; Baiyewu, L. A.; Okunola, M. O.; Ogunlade, S. O.","BACKGROUND:  Motorcycle is a popular and growing form of intracity transportation in many Nigerian cities owing mainly to poorly developed transport systems. It contributes significantly to road traffic injuries (RTIs), which are a leading cause of death and disabilities in low- and middle-income countries. There is a lack of information on the quality of care received and the treatment outcome in patients with motorcycle RTIs in Ibadan and many cities in Nigeria. This study evaluated the characteristics of motorcycle-related RTIs, the quality of care received, and the outcome of the patients managed in a trauma reference center in Ibadan, Nigeria. METHODS:  This is a prospective cohort study. All patients involved in motorcycle road traffic crashes who presented to the emergency department of the University College Hospital, Ibadan, between August 2020 and May 2021, were included in the study. Data on patients' demographics, history of the crash, injuries sustained, definitive care, and the outcome of in-hospital care were obtained from patients (and/or their carers) and the medical records. RESULTS:  A total of 156 patients were seen, out of which 74.4% were males. About 76.2% were less than 45 years with a mean age of 35.7 ± 16.3 years, and the peak age group was 18-44 years. About 37 (23.7%) patients were involved in motorcycle/motorcycle collisions, whereas 67 (42.9%) were involved in motorcycle/car collisions. Riders accounted for 59.6% (93), and although 62% (97) of the patients presented within six hours of the crash, only 10.9% (17) presented within one hour. About 48% received some form of prehospital care rendered by officials of the Federal Road Safety Corps, police officers, or passers-by, and none was attended by a dedicated emergency ambulance team. The head and the limbs were the most affected anatomical areas, while orthopedic and neurosurgical procedures were the most required emergency surgical interventions. About 66.7% were discharged home with only 21.2% of them fit to return to pre-trauma function at discharge, and the mortality rate was 17.3%. Patients who presented at 7-24 hours (AOR = 2.99; 95% CI = 1.04-8.62; p-value = 0.043) and >24 hours after the accident (AOR = 5.65; 95% CI = 1.64-19.53; p-value = 0.006) were 2.99 and 5.65 times, respectively, more likely to die from motorcycle-related accident compared to those who presented within the first six hours. CONCLUSION:  This study identified the growing burden of disabilities and mortalities related to motorcycle RTIs. It highlights the lack of prehospital trauma care, which is a reflection of the deficiency of a national, regional, or jurisdictional trauma system and the critical need to develop a functional trauma system.",2023,,Cureus,15,12,e51141,38152296,10.7759/cureus.51141,15195,#2834,Ezeme 2023,Rachel Wangi (2025-01-21 00:08:38)(Select): Part of the injuries include some that are managed by reconstructive surgery.; ,Burden; Road Traffic Accidents; Trauma
Management outcome and associated factors in burn injuries with and without facial involvement in a Nigerian population,"Fatusi, O. A.; Fatusi, A. O.; Olabanji, J. K.; Alatise, O. I.","There is a high potential for the occurrence of burns in Nigeria, yet very little is known about factors that are associated with management outcomes (death/survivorship) in burns affecting facial or other body areas among Nigerian populations. This study aimed at determining patterns of occurrences of burn injuries with and without facial involvement and the factors that are associated with mortality. A standardized data-collection instrument was designed and used to extract relevant information about burn patients that were seen at the Obafemi Awolowo University Teaching Hospitals Complex, Ile-Ife, Nigeria, between 1998 and 2003. During the study period, fuel-related flames constituted the leading type of agent in both facial (71.1%) and nonfacial involved burns (65.3%). There was no significant difference in the incidence of contracture and inhalation injury between burns with facial involvement and burns without facial involvement, but cases of facial involvement have significantly lower incidences of wound infections. No significant difference was seen in the incidence of mortality between burns with facial involvement (31.6 %) and burns without facial involvement (30.7%). Significant bivariate correlates for mortality were age, flame as the agent of burns, depth of the burns and wound infections. Two correlates remained significant in the multivariate analysis (binary logistic regression): BSA involved and wound infection. © 2006 The American Burn Association.",2006,,Journal of Burn Care and Research,27,6,869-876,,10.1097/01.BCR.0000245769.92667.4A,22358,#2908,Fatusi 2006,"",Burns
The impact of a single surgical intervention for patients with a cleft lip living in rural Ethiopia,"Fell, M. J.; Hoyle, T.; Abebe, M. E.; Kebede, Y.; Medhin, Y. D.; Hiwot, F. A.; Cifeta, T. H.; Ali, I. M.; McGurk, M.","BACKGROUND: Humanitarian organisations commonly provide reconstructive treatment for patients with cleft lip within developing countries, but follow-up is often non-existent, particularly for those living in rural areas. This study aimed to assess whether a single surgical intervention was sufficient to produce an observable change to the life of a patient with cleft lip living in rural Hararghe in eastern Ethiopia. METHODS: 356 patients with isolated cleft lips, who received a single surgical treatment at least 6 months previously, were evaluated in 21 rural health centres. RESULTS: Patients and their families expressed unhappiness before treatment, mainly because the society reacted negatively towards the deformities, isolating the patients from community activities. Postoperatively, the percentage of school-aged children participating in education increased from 46% to 79%, some older patients were able to marry, but employment was unaffected. The prevalence of wound dehiscence in the lip repair was 3% and occurred more frequently in patients with a bilateral cleft lip compared to a unilateral cleft lip (p < 0.001, RR 49.25, 95% CI 6.7-1037.35). CONCLUSIONS: We demonstrated that follow-up can be achieved by charitable organisations treating rural patients and that the majority of patients report a positive impact following surgical intervention. We recommend that bilateral cleft lips have a more intense rural aftercare.",2014,,J Plast Reconstr Aesthet Surg,67,9,1194-200,24888227,10.1016/j.bjps.2014.05.019,13594,#2935,Fell 2014,"Rachel Wangi (2025-01-31 01:21:59)(Select): presents the likely outcomes after a single surgery, points to the burden of cleft lip.; ",Cleft Palate; Congenital Malformations
Incidence and management of mandibular fractures in a low-resource health facility in Ghana,"Frimpong, P.; Nguyen, T. T. H.; Sodnom-Ish, B.; Nimatu, E. S.; Dampare, N. Y. A.; Rockson, R.; Awuah, S. B.; Amponsah, E. K.; Newton, C.; Kim, S. M.","Objectives: The mandible and other parts of the maxillofacial region suffer significant morbid injuries following road traffic accidents. Our study gives epidemiological description of mandibular fractures in Ghana and also evaluates the relevance of closed reduction and indirect fixation for managing mandibular fractures in low-resource health facilities in low-income countries like Ghana. Patients and Methods: This is a retrospective study involving 268 patients who reported to the Department of Oral and Maxillofacial Surgery of the Sunyani Regional Hospital with mandibular fractures from January 2010 to December 2019. Patient medical records were assessed for information on age, sex, fracture etiology, anatomic location of fracture, time of day of road traffic accident, and other associated injuries. Results: A total of 268 patients were included in this study (males, 216 [80.6%]; females, 52 [19.4%]). Motor vehicular accident (MVA) was the leading cause of mandibular fractures (202 injuries, 75.4%). Other etiologies included assault (39, 14.6%), gunshot (13, 4.9%), falls (12, 4.5%), and industrial accidents (2, 0.7%). Of the 161 male cases caused by MVA, 121 (75.2%) occurred at night and in the evening while the remaining 40 (24.8%) occurred in the morning and afternoon. Among all managed 222 patients, 212 (79.1%) were treated with closed reduction and indirect fixation technique while 10 (3.7%) were treated with open reduction and direct fixation. Conclusion: Closed reduction with indirect fixation could successfully be used to manage mandibular fractures in low resourced health facilities, especially in low-income countries. The poor lightening system on roads in Ghana is a major contributory factor to motor vehicular accidents.",2021,,Journal of the Korean Association of Oral and Maxillofacial Surgeons,47,6,432-437,,10.5125/jkaoms.2021.47.6.432,17090,#3073,Frimpong 2021,"Saidu Ahmad Idris (2025-01-13 22:03:45)(Select): Grey area: It provides  information on  the burden, barriers and management of mandibular fractures in a low-resource setting; Sabina Rodriguez (2025-01-09 05:53:41)(Select): Include some information on bed capacity from hospital in Introduction.; ",Burden; Maxillo-facial surgery; Road Traffic Accidents
"Critical shortage of capacity to deliver safe paediatric surgery in sub-Saharan Africa: evidence from 67 hospitals in Malawi, Zambia, and Tanzania","Gajewski, J.; Pittalis, C.; Borgstein, E.; Bijlmakers, L.; Mwapasa, G.; Cheelo, M.; Juma, A.; Sardana, M.; Brugha, R.","Introduction: Paediatric surgical care is a significant challenge in Sub-Saharan Africa (SSA), where 42% of the population are children. Building paediatric surgical capacity to meet SSA country needs is a priority. This study aimed to assess district hospital paediatric surgical capacity in three countries: Malawi, Tanzania and Zambia (MTZ). Methods: Data from 67 district-level hospitals in MTZ were collected using a PediPIPES survey tool. Its five components are procedures, personnel, infrastructure, equipment, and supplies. A PediPIPES Index was calculated for each country, and a two-tailed analysis of variance test was used to explore cross-country comparisons. Results: Similar paediatric surgical capacity index scores and shortages were observed across countries, greater in Malawi and less in Tanzania. Almost all hospitals reported the capacity to perform common minor surgical procedures and less complex resuscitation interventions. Capacity to undertake common abdominal, orthopaedic and urogenital procedures varied—more often reported in Malawi and less often in Tanzania. There were no paediatric or general surgeons or anaesthesiologists at district hospitals. General medical officers with some training to do surgery on children were present (more often in Zambia). Paediatric surgical equipment and supplies were poor in all three countries. Malawi district hospitals had the poorest supply of electricity and water. Conclusions: With no specialists in district hospitals in MTZ, access to safe paediatric surgery is compromised, aggravated by shortages of infrastructure, equipment and supplies. Significant investments are required to address these shortfalls. SSA countries need to define what procedures are appropriate to national, referral and district hospital levels and ensure that an appropriate paediatric surgical workforce is in place at district hospitals, trained and supervised to undertake these essential surgical procedures so as to meet population needs.",2023,,Frontiers in Pediatrics,11,,,,10.3389/fped.2023.1189676,16035,#3108,Gajewski 2023,Camille Beatrice Valera (2025-02-14 02:05:55)(Select): surgical capacity; barriers to care; Rachel Wangi (2025-02-12 00:02:11)(Select): points to surgical capacity. procedures included management of burns and skin grafting ; ,Barriers to Care; Children / Pediatric Population; Surgical Capacity
Access to Operative Intervention Reduces Mortality in Adult Burn Patients in a Resource-Limited Setting in Sub-Saharan Africa,"Gallaher, J. R.; Banda, W.; Robinson, B.; Purcell, L. N.; Charles, A.","INTRODUCTION: Early excision and grafting remains the standard of care after burn injury. However, in a resource-limited setting, operative capacity often limits patient access to surgical intervention. This study sought to describe access to excision and grafting for adult burn patients in a sub-Saharan African burn unit and its relationship with burn-associated mortality. METHODS: We analyzed patients recorded in the Kamuzu Central Hospital Burn Registry in Lilongwe, Malawi from 2011-2019. We examined patient characteristics, interventions, and outcomes for adults aged ≥16 years. Modified Poisson regression modeling was used to identify risk factors for mortality. RESULTS: Five hundred and seventy-three patients were included. Median age was 30 years (IQR 23-40) with a male preponderance (63%). Median percent total body surface area burned (%TBSA) was 15% (IQR 8-26) and 68% of burns were caused by flame. 27% (n = 154) had burn excision with skin grafting, with a median time to operation of 18 days (IQR 9-38). When adjusted for age, %TBSA, and time to presentation, operative intervention conferred a survival benefit for patients with flame burns with a RR 0.16 (95% CI 0.06, 0.42). CONCLUSIONS: In a resource-limiting setting, access to the operating room is inadequate, and burn patients are not prioritized. While many scald burn patients may be managed with wound care alone, patients with flame burn require surgical intervention to improve clinical outcomes. Burn injury in this region continues to confer a high risk of mortality, and more investment in operative capacity is imperative.",2020,,World J Surg,44,11,3629-3635,32666267,10.1007/s00268-020-05684-y,13563,#3117,Gallaher 2020,Camille Beatrice Valera (2025-01-22 03:14:40)(Select): barriers to access; burden --> burns; ,Access to Healthcare; Burns
Essential surgery at the district hospital: A retrospective descriptive analysis in three african countries,"Galukande, M.; von Schreeb, J.; Wladis, A.; Mbembati, N.; de Miranda, H.; Kruk, M. E.; Luboga, S.; Matovu, A.; McCord, C.; Ndao-Brumblay, S. K.; Ozgediz, D.; Rockers, P. C.; Quiñones, A. R.; Vaz, F.; Debas, H. T.; Macfarlane, S. B.","Background Surgical conditions contribute significantly to the disease burden in sub-Saharan Africa. Yet there is an apparent neglect of surgical care as a public health intervention to counter this burden. There is increasing enthusiasm to reverse this trend, by promoting essential surgical services at the district hospital, the first point of contact for critical conditions for rural populations. This study investigated the scope of surgery conducted at district hospitals in three sub-Saharan African countries. Methods and Findings In a retrospective descriptive study, field data were collected from eight district hospitals in Uganda, Tanzania, and Mozambique using a standardized form and interviews with key informants. Overall, the scope of surgical procedures performed was narrow and included mainly essential and life-saving emergency procedures. Surgical output varied across hospitals from five to 45 major procedures/10,000 people. Obstetric operations were most common and included cesarean sections and uterine evacuations. Hernia repair and wound care accounted for 65% of general surgical procedures. The number of beds in the studied hospitals ranged from 0.2 to 1.0 per 1,000 population. Conclusion The findings of this study clearly indicate low levels of surgical care provision at the district level for the hospitals studied. The extent to which this translates into unmet need remains unknown although the very low proportions of live births in the catchment areas of these eight hospitals that are born by cesarean section suggest that there is a substantial unmet need for surgical services. The district hospital in the current health system in sub-Saharan Africa lends itself to feasible integration of essential surgery into the spectrum of comprehensive primary care services. It is therefore critical that the surgical capacity of the district hospital is significantly expanded; this will result in sustainable preventable morbidity and mortality. © 2010 Galukande et al.",2010,,PLoS Medicine,7,3,1-10,,10.1371/journal.pmed.1000243,21877,#3127,Galukande 2010,"Camille Beatrice Valera (2025-02-04 04:42:30)(Select): interesting paper/good insights. certainly useful; Camille Beatrice Valera (2025-02-04 04:41:00)(Select): surgical capacity ; barriers
surgical procedures include topics of interest/possible interest: 

- Wound-related procedures
- Open fracture reduction 
- Excisional biopsies of superficial lumps
- Limb amputation
- Skin graft 
- Lumpectomy & mastectomy ; Rachel Wangi (2025-01-30 01:27:52)(Select): Clearly states the reconstructive surgeries in table 5; ",Burden
Surgical complications and subsequent revision surgeries among noma cases treated in Ethiopia,"Gebretsadik, H. G.","Introduction: Noma, an overlooked infectious disease, inflicts severe facial tissue damage, posing substantial challenges in patient care. This study delves into surgical complications and subsequent revision surgeries among noma cases treated in Ethiopia. Materials and Methods: The research employed a cross-sectional retrospective review of medical records treated between 2007 and 2019 retrieved from the Facing Africa database. Results: The review encompasses 235 noma cases. Twenty-four cases (19 females and 5 males) experienced various complications, predominately major complications leading to subsequent revision surgeries. The identified complications included flap necrosis, abscess formation, tenderness, graft site infection, flap bulking, dental misalignment, corner of the mouth dehiscence, infected bone and plate, flap malpositioning, restricted mouth opening with ankylosis, neuropathic pain, recurrent flap infection, and offensive odor. Revision surgeries included wound cleansing, abscess drainage, skin graft removal, exploratory surgery, wound care, debulking, scar removal, debridement, trismus release, commisuroplasty, and flap repositioning. Conclusion: These findings illuminate the intricacies of noma surgery in Ethiopia, emphasizing the importance of understanding the nature and frequency of complications for optimizing treatment outcomes. Insights from this study can guide healthcare providers, especially novice surgeons, and policymakers, in refining surgical interventions and enhancing outcomes for noma patients. Improved knowledge in this realm is crucial for advancing patient care and developing targeted interventions. Level of Evidence: 5.",2024,,Laryngoscope Investigative Otolaryngology,9,2,,,10.1002/lio2.1250,15637,#3205,Gebretsadik 2024,"Rachel Wangi (2025-01-30 01:53:11)(Select): focusing on surgical complications associated with noma surgery; Camille Beatrice Valera (2025-01-29 21:32:58)(Select): mainly discussing surgical complications of noma and revision surgeries. could be useful re: noma ""burden"" ? ; ",Deforming Pathologies; Mutilating Pathologies; Noma; Surgical Complications
